"Obj","Labl","Def","NAVID;English","TA2ID","English","Synonyms","Latin","Synonyms","Fran?ais","Synonyms","Espa?ol","Sin?nimos","Portugues","Sin?nimos","Italiano","Polski","Parsi","Deutsch","T?rk?e","Hindi","??"
"","x","x","","46","Reference planes","","Plana referentiae","","Plans de r?f?rence","","Planos de referencia","","Planos de refer?ncia","","Piani di riferimento","P?aszczyzny odniesienia","???? ??? ??????","Referenzebenen","Referans d?zlemler","?????? ??","????"
"","x","x","","47","Longitudinal planes","%Vertical planes","Plana longitudinalia","%Plana verticales","Coupes longitudinales","%Plans verticaux","Planos longitudinales","%Planos verticales","Planos longitudinais","%Planos verticais","Piani longitudinali","P?aszczyzny pod?u?ne","???? ??? ????","L?ngsebenen","Boyuna d?zlemler","?????????? ??","????"
"x","","x","532;Dorsal planes","48","Coronal planes","%Frontal planes","Plana coronalia","%Plana frontalia","Coupes frontales","%Plans frontaux","Planos coronales","%Planos frontales","Planos coronais","%Planos frontais","Piani coronali","P?aszczyzny wie?cowe","???? ??? ??????","koronale Ebenen","Koronal d?zlemler","?????? ??","???"
"","x","x","530;Sagittal planes [paramedian]","49","Sagittal planes","","Plana sagittalia","","Coupes sagittales","","Planos sagitales","","Planos sagitais","","Piani sagittali","P?aszczyzny strza?kowe","???? ??? ??????","Sagittalebenen","Sagital d?zlemler","?????????????? ??","???"
"x","","x","529;Median plane","50","Median plane","%Median sagittal plane%Midsagittal plane","Planum medianum","","Plan m?dian","","Plano mediano","%Plano sagital mediano","Plano mediano","%Plano sagital mediano","Piano mediano","P?aszczyzna po?rodkowa","???? ?????","Mittelebene","Median d?zlem","???? ??","????"
"x","","x","","51","Paramedian plane","%Paramedian sagittal plane","Planum paramedianum","","Plan param?dian","","Plano paramediano","%Plano sagital paramediano","Plano paramediano","%Plano sagital paramediano","Piano paramediano","P?aszczyzna przypo?rodkowa","???? ???? ?????","Paramedianebene","Paramedian d?zlem","??????? ??","????"
"x","","x","531;Transversal planes","52","Transverse planes","%Horizontal planes%Axial planes","Plana transversa","%Plana horizontalia%Plana transversalia","Plans transverses","%Plans horizontaux","Planos transversos","%Planos horizontales","Planos transversais","%Planos horizontais","Piani trasversali","P?aszczyzny poprzeczne","???? ??? ????","Tranversalebene","Enine d?zlemler","??????????? ??","??"
"","","x","","53","Transpyloric plane","%Addison's plane","Planum transpyloricum","","Plan transpylorique","%Plan d'Addison","Plano transpil?rico","%Plano de Addison","Plano transpil?rico","%Plano de Addison","Piano transpilorico","P?aszczyzna przezod?wiernikowa","???? ??? ???????","Transpylorische Ebene","Transpilorik d?zlem","??????????? ??????? ??","????"
"","","","","54","Subcostal plane","","Planum subcostale","","Plan subcostal","","Plano subcostal","","Plano subcostal","","Piano subcostale","P?aszczyzna pod?ebrowa","???? ??? ???? ??","Subkostalebene","Kostal d?zlem"," ??? ?????? ??","????"
"","","x","","55","Transumbilical plane","","Planum transumbilicalis","","Plan transombillical","","Plano transumbilical","","Plano transumbilical","","Piano transombelicale","P?aszczyzna przezp?pkowa","???? ???????","Transumbilicalebene","Transumbilikal d?zlem"," ???????  ??","????"
"","","x","","56","Supracristal plane","","Planum supracristale","","Plan de la cr?te iliaque","","Plano supracrestal","","Plano supracristal","","Piano sopracristale","P?aszczyzna nadgrzebieniowa","???? ??? ????","Suprakristalline Ebene","Suprakristal d?zlem","???????? ?????? ??","????"
"","","x","","57","Intertubercular plane","","Planum intertuberculare","","Plan intertuberculaire","","Plano intertubercular","","Plano intertubercular","","Piano intertubercolare","P?aszczyzna mi?dzyguzkowa","???? ??? ???? ??","Intertuberkul?re Ebene","?ntert?berk?ler d?zlem","????? ??????  ??","?????"
"","","x","","58","Interspinous plane","","Planum interspinale","","Plan inter?pineux","","Plano interespinoso","","Plano interespinhoso","","Piano interspinoso","P?aszczyzna mi?dzykolcowa","???? ??? ????","Interspin?se Ebene","?nterspin?z d?zlem","????? ???? ??","?????"
"","x","x","","59","Reference lines","","Lineae referentiae","","Lignes de r?f?rence","","L?neas de referencia","","Linhas de refer?ncia","","Linee di riferimento","Linie odniesienia","????? ??? ??????","Referenzlinien","Referans ?izgileri","?????? ??????, ??????? ????","???"
"x","","x","","60","Anterior median line","","Linea mediana anterior","","Ligne ant?rieure m?diane","","L?nea mediana anterior","","Linha mediana anterior","","Linea mediana anteriore","Linia po?rodkowa przednia","????? ????? ????","vordere Mittellinie","?n medyan ?izgi"," ??????????? ????","????"
"x","","x","","61","Sternal line","","Linea sternalis","","Ligne sternale","","L?nea esternal","","Linha esternal","","Linea sternale","Linia mostkowa","????? ?????","Sternallinie","Sternal ?izgi","??????? ????","???"
"x","","x","","62","Parasternal line","","Linea parasternalis","","Ligne parasternale","","L?nea paraesternal","","Linha paraesternal","","Linea parasternale","Linia przymostkowa","????? ???? ?????","Parasternallinie","Parasternal ?izgi","?????????? ????","????"
"x","","x","","63","Midclavicular line","","Linea medioclavicularis","","Ligne m?dioclaviculaire","","L?nea medioclavicular","","Linha hemiclavicular","","Linea emiclaveare","Linia ?rodkowo-obojczykowa","????? ????? ?????","Medioklavikul?re Linie","Midklavik?ler ?izgi","????-?????????? ????","????"
"x","","x","","64","Mamillary line","%Nipple line%Mammilary line","Linea mamillaris","","Ligne mamelonnaire","","L?nea mamilar","","Linha mamilar","","Linea mammaria","Linia sutkowa","????? ??????","Mamillarlinie","Meme hatt?","??????? ????","???"
"x","","x","","65","Anterior axillary line","","Linea axillaris anterior","","Ligne axillaire ant?rieure","","L?nea axilar anterior","","Linha axilar anterior","","Linea ascellare anteriore","Linia pachowa przednia","????? ???? ????","vordere Axillarlinie","?n koltuk alt? hatt?","????????? ???????? ????","???"
"","","x","","66","Midaxillary line","","Linea axillaris media","","Ligne axillaire moyenne","","L?nea axilar media","","Linha axilar m?dia","","Linea medioascellare","Linia pachowa ?rodkowa","????? ???? ?????","mittlere Achsellinie","Midaksiller hat","????-???????? ????","???"
"x","","x","","67","Posterior axillary line","","Linea axillaris posterior","","Ligne axillaire post?rieure","","L?nea axilar posterior","","Linha axilar posterior","","Linea ascellare posteriore","Linia pachowa tylna","????? ???? ???","hintere Axillarlinie","Arka koltuk alt? hatt?","?????????? ???????? ????","???"
"x","","x","","68","Scapular line","","Linea scapularis","","Ligne scapulaire","","L?nea escapular","","Linha escapular","","Linea scapolare","Linia ?opatkowa","????? ???? ??","Skapulierlinie","Skapular ?izgi","???????? ????","???"
"x","","x","","69","Paravertebral line","%Vertebral line","Linea paravertebralis","","Ligne paravert?brale","%Ligne vert?brale","L?nea paravertebral","%Linea vertebral","Linha paravertebral","%Linha vertebral","Linea paravertebrale","Linia przykr?gowa","????? ???????? ??","Paravertebrallinie","Paravertebral ?izgi","?????????????? ????","???"
"x","","x","","70","Posterior median line","","Linea mediana posterior","","Ligne post?rieure m?diane","","L?nea mediana posterior","","Linha mediana posterior","","Linea mediana posteriore","Linia po?rodkowa tylna","????? ????? ???","hintere Mittellinie","Arka medyan ?izgi","?????????? ???? ????","???"
"","","","","71","Human body positions","","Positiones corporis humani","","Positions du corps humain","","Posiciones del cuerpo humano","","Posi??es do corpo humano","","Posizioni del corpo umano","Pozycje cia?a ludzkiego","?????? ??? ??? ???","Positionen des menschlichen K?rpers","?nsan v?cut pozisyonlar?","???? ???? ?? ??????","????"
"","","","","72","Anatomical position","%Human anatomical position","Positio anatomica","%Positio anatomica humana%Positura bipedalis%Positura erecta","Position anatomique","","Posici?n anatomica","%Posici?n anat?mica humana","Posi??o anat?mica","%Posi??o anat?mica humana","Posizione anatomica","Pozycja anatomiczna","???????? ?????????","anatomische Position","Anatomik pozisyon","??????? ??????","????"
"","","x","","73","Comparative anatomical position","","Positio anatomica comparativa","%Positura quadrupedalis","Position anatomique comparative","%Position quadrup?de","Posici?n anat?mica comparativa","%Posici?n de cuadr?pedo","Posi??o anat?mica comparativa","%Posi??o quadr?pede","Posizione anatomica comparata","Pozycje anatomiczne por?wnawcze","?????? ????????? ?????","Vergleichende anatomische Position","Kar??la?t?rmal? anatomik pozisyon","????????? ??????? ??????","???????"
"","","x","","74","Prone position","","Positio prona","%Pronus%Prone","Position ventrale","%D?cubitus ventral","Posici?n prona","","Posi??o prona","","Posizione prona","Pozycja le??ca","?????? ???","Bauchlage","Y?z?st? pozisyon","???????? ??????","???"
"","","","","75","Supine position","","Positio supina","%Supinus%Supine","Position dorsale","%D?cubitus dorsal","Posici?n supina","","Posi??o supina","","Posizione supina","Pozycja na wznak","?????? ?? ???","R?ckenlage","S?rt?st? pozisyon","????? ?? ??????","???"
"","x","x","","76","Movements","","Motus","","Mouvements","","Movimientos","","Movimentos","","Movimenti","Ruchy","???? ??? ???? ??","Bewegungen","Hareketler","??????","??"
"x","","x","","77","Abduction","","Abductio","","Abduction","","Abducci?n","","Abdu??o","","Abduzione","Odwodzenie","??? ????","Abduktion","Orta hattan uzakla?ma","???????","??"
"x","","x","","78","Adduction","","Adductio","","Adduction","","Aducci?n","","Adu??o","","Adduzione","Przywodzenie","????? ????","Adduktion","Orta hatta yakla?ma","??????","??"
"x","","x","","79","Lateral rotation","%External rotation","Rotatio lateralis","%Rotatio externa%Exorotatio","Rotation lat?rale","%Rotation externe%Exorotation","Rotaci?n lateral","%Rotaci?n externa","Rota??o externa","%Rota??o externa","Rotazione laterale","Rotacja boczna","???? ??????","seitliche Drehung","Eksternal rotasyon","???????? ?????","??"
"x","","x","","80","Medial rotation","%Internal rotation","Rotatio medialis","%Rotatio interna%Endorotatio","Rotation interne","","Rotaci?n medial","%Rotaci?n interna","Rota??o interna","%Rota??o interna","Rotazione mediale","Rotacja przy?rodkowa","???? ?????","mediale Rotation","?nternal rotasyon","???? ?????","??"
"x","","x","","81","Circumduction","","Circumductio","","Circumduction","","Circunducci?n","","Circundu??o","","Circonduzione","Obwodzenie","???? ????????","Zirkumduktion","?ember ?izer ?ekilde d?nme, d?nd?rme","??????","??"
"","","x","","82","Flexion","","Flexio","","Flexion","","Flexi?n","","Flex?o","","Flessione","Zginanie","??? ?? ???","Beugung","B?kme, b?k?lme","????","??"
"","","x","","83","Extension","","Extensio","","Extension","","Extensi?n","","Extens?o","","Estensione","Prostowanie","??? ???","Streckung","Germe, gerilme","???????","??"
"x","","x","","84","Pronation","","Pronatio","","Pronation","","Pronaci?n","","Prona??o","","Pronazione","Pronacja, nawracanie","???","Pronation","?n kolun i?e d?nd?r?lmesi","???? ??????","??"
"x","","x","","85","Supination","","Supinatio","","Supination","","Supinaci?n","","Supina??o","","Supinazione","Supinacja, odwracanie","??????","Supination","?n kolun d??a d?nd?r?lmesi","?????????","??"
"","","x","","86","Opposition","","Oppositio","","Opposition","","Oposici?n","","Oposi??o","","Opposizione","Przeciwstawianie","???????? ?????","Opposition","","?????","??"
"","","x","","87","Reposition","","Repositio","","Reposition","","Reposici?n","","Reposi??o","","Riposizione","Odprowadzanie","????? ?? ??????","Umstellen","Eski pozisyona d?nme","???????????","??"
"x","","x","","88","Plantar flexion","%Plantiflexion%Plantaflexion","Plantiflexio","","Flexion plantaire","","Plantiflexi?n","","Flex?o plantar","","Flessione plantare","Zgi?cie podeszwowe","??? ?? ????","Plantarflexion","Plantar fleksiyon","?? ?? ??","??"
"x","","x","","89","Dorsiflexion","%Dorsoflexion","Dorsiflexio","","Flexion dorsale","%Dorsiflexion","Dorsiflexi?n","%Dorsiflexi?n","Dorsiflex?o","%Dorsiflex?o","Dorsiflessione","Zgi?cie grzbietowe","??? ??? ????","Dorsalflexion","Dorsifleksiyon","???? ?? ?? ?????","??"
"","","x","","90","Elevation","","Elevatio","","El?vation","","Elevaci?n","","Eleva??o","","Elevazione","Unoszenie","????????","Erh?hung","Yukar? do?ru kald?rma","?????","??"
"","","","","91","Depression","","Depressio","","Abaissement","","Depresi?n","","Depress?o","","Depressione","Obni?anie","????? ????","Depression","??kmaz, ?ukurla?ma; a?a?? do?ru bast?rma","????????","??"
"x","","x","","92","Eversion","","Eversio","","Eversion","","Eversi?n","","Evers?o","","Eversione","Ewersja","?? ?? ?????","Umst?lpung","Ayak taban?n?n d??a d?nd?r?lmesi","??????","??"
"x","","x","","93","Inversion","","Inversio","","Inversion","","Inversi?n","","Invers?o","","Inversione","Inwersja","?? ?? ????","Einst?lpung","??e d?nme, i?e d?n??","??? ????","??"
"","","x","","94","Protraction","","Protractio","","Protraction","","Protracci?n","","Protra??o","","Protrazione","Wysuwanie","?? ?? ??? ????","Protraktion","?ne do?ru ?ekme, uzatma","??????","??"
"","","","","95","Retraction","","Retractio","","R?traction","","Retracci?n","","Retra??o","","Retrazione","Cofanie","?? ?? ?? ????","Einziehen","Geriye ?ekme","?????","??"
"","","","","96","Human body","","Corpus humanum","","Corps humain","","Cuerpo humano","","Corpo humano","","Corpo umano","Ludzkie cia?o","???? ???","menschlicher K?rper","?nsan v?cudu","???? ????","??"
"","","x","","97","Parts of human body","","Partes corporis humani","","Parties du corps humain","","Partes del cuerpo humano","","Partes do corpo humano","","Parti del corpo umano","Cz??ci ludzkiego cia?a","???? ??? ???? ???","Teile des menschlichen k?rpers","?nsan v?cudunun par?alar?","???? ???? ?? ???","????"
"","","x","?533;Regions of head","98","Head","","Caput","","T?te","","Cabeza","","Cabe?a","","Capo","G?owa","??","Kopf","Kafa","???","?"
"","","x","","99","Neurocranial part of head","","Pars neurocranialis capitis","","Neurocr?ne de la t?te","","Parte neurocraneal de la cabeza","","Parte neurocraniana da cabe?a","","Parte neurocranica della testa","Cz??? neuroczaszkowa g?owy","???? ??? ?????? ?? ?? ???? ??","neurokranieller Teil des Kopfes","Kafan?n n?rokranial k?sm?","??? ?? ?????????????? ???","??"
"","","x","694;Cranial cavity","100","Cranial cavity","","Cavitas cranii","","Cavit? cr?nienne","","Cavidad craneal","","Cavidade craniana","","Cavit? cranica","Jama czaszki","???? ???  ???? ???? ???","Sch?delh?hle","Kafatas? bo?lu?u","?????? ????","??"
"","","x","393;Sinciput","101","Forehead","%Sinciput","Frons","%Sinciput","Front","","Frente","","Testa","","Fronte","Czo?o","??????","Stirn","Al?n","????","??"
"","","x","715;Occiput","102","Occiput","","Occiput","","Occiput","","Occipucio","","Occip?cio","","Occipite","Potylica","?? ??-?? ???.","Hinterkopf","Ardkafa","??","???"
"","","x","348;Temple","103","Temple","%Tempora","Tempus","%Tempulum%Tempora","Tempe","","Sien","%Temporal","T?mpora","","Tempia","Skro?","??????","Schl?fe","Tap?nak","?????","???"
"","","x","394;Ear","104","Auricle","%Pinna%Ear","Auricula","","Pavillon auriculaire","%Oreille","Aur?cula","%Oreja","Aur?cula","","Padiglione auricolare","Ma??owina uszna","???? ???","Ohrmuschel","Kulak??k","????-?????????","??"
"x","","x","","105","Lobule of auricle","%Lobe of ear","Lobulus auriculae","","Lobe de l'oreille","","L?bulo auricular","%L?bulo de la oreja","L?bulo da orelha","","Lobulo del padiglione auricolare","Zrazik ma??owiny usznej","??? ??? ???? ???","Ohrl?ppchen","Kulak??k lob?l?","????? ?? ???????","??"
"x","","x","7348;Helix","106","Helix","","Helix","","H?lix","","H?lix","","H?lice","","Elice","Obr?bek","?????","Wendel","Sarmal olu?um; k?vr?nt?,k?vr?m","??????? ??????","??"
"","","x","","107","Crus of helix","","Crus helicis","","Racine de l'h?lix","","Ra?z del H?lix","","Cruz da h?lice","","Branca dell'elice","Odnoga obr?bka","???? ?????","Crus von helix","","??????? ?? ?????","???"
"x","","x","","108","Antihelix","","Antihelix","","Anth?lix","","Antih?lix","","Ant?lice","","Antelice","Grobelka","?????? ?????","Antihelix","Antiheliks","???????????","???"
"x","","x","","109","Crura of antihelix","","Crura antihelicis","","Queue de l'anth?lix","","Cola del antih?lix","","Cauda da ant?lice","","Branche dell'antelice","Odnogi grobelki","???? ?????? ?????","Crura von anthelix","Antiheliks Crura","??????????? ?? ??????","????"
"x","","x","7360;Antitragus","110","Antitragus","","Antitragus","","Antitragus","","Antitrago","","Antitragus","","Antitrago","Przeciwskrawek","??? ?????","Antitragus","Antitragus","??????????","???"
"x","","x","7364;Tragus","111","Tragus","","Tragus","","Tragus","","Trago","","Tr?gus","","Trago","Skrawek","?????","Tragus","Tragus","???????","??"
"","","x","396;Face","112","Face","","Facies","","Face","","Cara","","Cara","","Faccia","Twarz","???? ???? ????.","Gesicht","Y?z","???","?"
"","","","","113","Eye (part of head)","","Oculus (part of head)","","Oeil (partie de la t?te)","","Ojo (parte de la cabeza)","","Olho (parte da cabe?a)","","Occhio (parte della testa)","Oko (cz??? g?owy)","???@","Auge (Teil des Kopfes)","G?z (ba??n bir k?sm?)","??? (??? ?? ??????)","??(????)"
"","x","x","398;Upper eyelid","114","Upper eyelid","%Superior eyelid","Palpebra superior","","Paupi?re sup?rieure","","P?rpado superior","","P?lpebra superior","","Palpebra superiore","G?rna powieka","??? ??????","oberes Augenlid","?st g?z kapa??","???? ???","???"
"","x","x","399;Lower eyelid","115","Lower eyelid","%Inferior eyelid","Palpebra inferior","","Paupi?re inf?rieure","","P?rpado inferior","","P?lpebra inferior","","Palpebra inferiore","Dolna powieka","??? ??????","unteres Augenlid","Alt g?z kapa??","????? ???","???"
"","x","x","414;Cheek","116","Cheek","","Bucca","%Mala","Joue","","Buca","%Mejilla","Bochecha","","Guancia","Policzek","????","Wange","Yanak","???","??"
"","x","x","3287;External nose","117","External nose","","Nasus externus","","Nez externe","","Nariz externa","","Nariz externo","","Naso esterno","Nos zewn?trzny","???? ??????","?u?ere Nase","Burun d?? k?sm?","????????? ???","??"
"","x","x","404;Ala of nose","118","Ala of nose","","Ala nasi","","Aile du nez","","Ala de la nariz","","Asa do nariz","","Ala del naso","Skrzyd?o nosa","??? ????","Ala der nase","Burun kanatlar?","??? ?? ???","??"
"","x","x","?2245;Orbicularis oris muscle","119","Mouth","","Stoma","%Os","Bouche","","Boca","","Boca","","Bocca","Usta","????","Mund","A??z","????","?"
"","x","x","409;Upper lip","120","Upper lip","%Superior lip","Labium superius oris","%Labium maxillare","L?vre sup?rieure","","Labio superior","","L?bio superior","","Labbro superiore","Warga g?rna szpary ust","?? ????","Oberlippe","?st dudak","???? ???","??"
"","","x","410;Lower lip","121","Lower lip","%Inferior lip","Labium inferius oris","%Labium manidibulare","L?vre inf?rieure","","Labio inferior","","L?bio inferior","","Labbro inferiore","Warga dolna szpary ust","?? ?????","Unterlippe","Alt dudak","????? ????","??"
"","x","x","415;Chin","122","Chin","%Genion","Mentum","%Genion","Menton","%Genion","Ment?n","","Queixo","","Mento","Podbr?dek","????","Kinn","?ene","?????","??"
"","","x","417;Neck","123","Neck","","Collum","","Cou","","Cuello","","Pesco?o","","Collo","Szyja","????","Nacken","Boyun","????","??"
"","","x","361;Trunk","124","Trunk","","Truncus","","Tronc","","Tronco","","Tronco","","Tronco","Tu??w","???","Rumpf","G?vde","??? ?","??"
"","","x","355;Thorax","125","Thorax","%Chest","Thorax","","Thorax","%Torse","T?rax","","T?rax","","Torace","Klatka piersiowa","????(?????) ????","Brustkorb","G???s","???????","??"
"","x","x","3546;Thoracic cavity","126","Thoracic cavity","","Cavitas thoracis","","Cavit? thoracique","","Cavidad tor?cica","","Cavidade tor?cica","","Cavit? toracica","Jama klatki piersiowej","?????? ????","Brusth?hle","G???s bo?lu?u","??????? ?????","??"
"","","x","428;Abdomen","127","Abdomen","","Abdomen","","Abdomen","","Abdomen","","Abd?men","","Addome","Brzuch","???","Abdomen","Kar?n","???","??"
"","","x","429;Abdominal cavity","128","Abdominal cavity","","Cavitas abdominis","","Cavit? abdominale","","Cavidad abdominal","","Cavidade abdominal","","Cavit? addominale","Jama brzuszna","???? ???","Bauchh?hle","Kar?n bo?lu?u","??? ?? ????","??"
"","","x","1597;Pelvis","129","Pelvis","","Pelvis","","Pelvis","","Pelvis","","P?lvis","","Pelvi","Miednica","???@","Becken","Le?en kemi?i","??????","??"
