
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"Transverse planes;Plana transversa;Plans transverses;Planos transversos;Planos transversais;Piani trasversali;52"
"Transpyloric plane;Planum transpyloricum;Plan transpylorique;Plano transpilórico;Plano transpilórico;Piano transpilorico;53"
"Subcostal plane;Planum subcostale;Plan subcostal;Plano subcostal;Plano subcostal;Piano subcostale;54"
"Transumbilical plane;Planum transumbilicalis;Plan transombillical;Plano transumbilical;Plano transumbilical;Piano transombelicale;55"
"Supracristal plane;Planum supracristale;Plan de la crête iliaque;Plano supracrestal;Plano supracristal;Piano sopracristale;56"
"Intertubercular plane;Planum intertuberculare;Plan intertuberculaire;Plano intertubercular;Plano intertubercular;Piano intertubercolare;57"
"Interspinous plane;Planum interspinale;Plan interépineux;Plano interespinoso;Plano interespinhoso;Piano interspinoso;58"
"Reference lines;Lineae referentiae;Lignes de référence;Líneas de referencia;Linhas de referência;Linee di riferimento;59"
"Anterior median line;Linea mediana anterior;Ligne antérieure médiane;Línea mediana anterior;Linha mediana anterior;Linea mediana anteriore;60"
"Sternal line;Linea sternalis;Ligne sternale;Línea esternal;Linha esternal;Linea sternale;61"
"Parasternal line;Linea parasternalis;Ligne parasternale;Línea paraesternal;Linha paraesternal;Linea parasternale;62"
"Midclavicular line;Linea medioclavicularis;Ligne médioclaviculaire;Línea medioclavicular;Linha hemiclavicular;Linea emiclaveare;63"
"Mamillary line;Linea mamillaris;Ligne mamelonnaire;Línea mamilar;Linha mamilar;Linea mammaria;64"
"Anterior axillary line;Linea axillaris anterior;Ligne axillaire antérieure;Línea axilar anterior;Linha axilar anterior;Linea ascellare anteriore;65"
"Midaxillary line;Linea axillaris media;Ligne axillaire moyenne;Línea axilar media;Linha axilar média;Linea medioascellare;66"
"Posterior axillary line;Linea axillaris posterior;Ligne axillaire postérieure;Línea axilar posterior;Linha axilar posterior;Linea ascellare posteriore;67"
"Scapular line;Linea scapularis;Ligne scapulaire;Línea escapular;Linha escapular;Linea scapolare;68"
"Paravertebral line;Linea paravertebralis;Ligne paravertébrale;Línea paravertebral;Linha paravertebral;Linea paravertebrale;69"
"Posterior median line;Linea mediana posterior;Ligne postérieure médiane;Línea mediana posterior;Linha mediana posterior;Linea mediana posteriore;70"
"Human body positions;Positiones corporis humani;Positions du corps humain;Posiciones del cuerpo humano;Posições do corpo humano;Posizioni del corpo umano;71"
"Anatomical position;Positio anatomica;Position anatomique;Posición anatomica;Posição anatômica;Posizione anatomica;72"
"Comparative anatomical position;Positio anatomica comparativa;Position anatomique comparative;Posición anatómica comparativa;Posição anatômica comparativa;Posizione anatomica comparata;73"
"Prone position;Positio prona;Position ventrale;Posición prona;Posição prona;Posizione prona;74"
"Supine position;Positio supina;Position dorsale;Posición supina;Posição supina;Posizione supina;75"
"Movements;Motus;Mouvements;Movimientos;Movimentos;Movimenti;76"
"Abduction;Abductio;Abduction;Abducción;Abdução;Abduzione;77"
"Adduction;Adductio;Adduction;Aducción;Adução;Adduzione;78"
"Lateral rotation;Rotatio lateralis;Rotation latérale;Rotación lateral;Rotação externa;Rotazione laterale;79"
"Medial rotation;Rotatio medialis;Rotation interne;Rotación medial;Rotação interna;Rotazione mediale;80"
"Circumduction;Circumductio;Circumduction;Circunducción;Circundução;Circonduzione;81"
"Flexion;Flexio;Flexion;Flexión;Flexão;Flessione;82"
"Extension;Extensio;Extension;Extensión;Extensão;Estensione;83"
"Pronation;Pronatio;Pronation;Pronación;Pronação;Pronazione;84"
"Supination;Supinatio;Supination;Supinación;Supinação;Supinazione;85"
"Opposition;Oppositio;Opposition;Oposición;Oposição;Opposizione;86"
"Reposition;Repositio;Reposition;Reposición;Reposição;Riposizione;87"
"Plantar flexion;Plantiflexio;Flexion plantaire;Plantiflexión;Flexão plantar;Flessione plantare;88"
"Dorsiflexion;Dorsiflexio;Flexion dorsale;Dorsiflexión;Dorsiflexão;Dorsiflessione;89"
"Elevation;Elevatio;Elévation;Elevación;Elevação;Elevazione;90"
"Depression;Depressio;Abaissement;Depresión;Depressão;Depressione;91"
"Eversion;Eversio;Eversion;Eversión;Eversão;Eversione;92"
"Inversion;Inversio;Inversion;Inversión;Inversão;Inversione;93"
"Protraction;Protractio;Protraction;Protracción;Protração;Protrazione;94"
"Retraction;Retractio;Rétraction;Retracción;Retração;Retrazione;95"
"Human body;Corpus humanum;Corps humain;Cuerpo humano;Corpo humano;Corpo umano;96"
"Parts of human body;Partes corporis humani;Parties du corps humain;Partes del cuerpo humano;Partes do corpo humano;Parti del corpo umano;97"
"Head;Caput;Tête;Cabeza;Cabeça;Capo;98"
"Neurocranial part of head;Pars neurocranialis capitis;Neurocrâne de la tête;Parte neurocraneal de la cabeza;Parte neurocraniana da cabeça;Parte neurocranica della testa;99"
"Cranial cavity;Cavitas cranii;Cavité crânienne;Cavidad craneal;Cavidade craniana;Cavità cranica;100"
"Forehead;Frons;Front;Frente;Testa;Fronte;101"
"Occiput;Occiput;Occiput;Occipucio;Occipício;Occipite;102"
"Temple;Tempus;Tempe;Sien;Têmpora;Tempia;103"
"Auricle;Auricula;Pavillon auriculaire;Aurícula;Aurícula;Padiglione auricolare;104"
"Lobule of auricle;Lobulus auriculae;Lobe de l'oreille;Lóbulo auricular;Lóbulo da orelha;Lobulo del padiglione auricolare;105"
"Helix;Helix;Hélix;Hélix;Hélice;Elice;106"
"Crus of helix;Crus helicis;Racine de l'hélix;Raíz del Hélix;Cruz da hélice;Branca dell'elice;107"
"Antihelix;Antihelix;Anthélix;Antihélix;Antélice;Antelice;108"
"Crura of antihelix;Crura antihelicis;Queue de l'anthélix;Cola del antihélix;Cauda da antélice;Branche dell'antelice;109"
"Antitragus;Antitragus;Antitragus;Antitrago;Antitragus;Antitrago;110"
"Tragus;Tragus;Tragus;Trago;Trágus;Trago;111"
"Face;Facies;Face;Cara;Cara;Faccia;112"
"Eye (part of head);Oculus (part of head);Oeil (partie de la tête);Ojo (parte de la cabeza);Olho (parte da cabeça);Occhio (parte della testa);113"
"Upper eyelid;Palpebra superior;Paupière supérieure;Párpado superior;Pálpebra superior;Palpebra superiore;114"
"Lower eyelid;Palpebra inferior;Paupière inférieure;Párpado inferior;Pálpebra inferior;Palpebra inferiore;115"
"Cheek;Bucca;Joue;Buca;Bochecha;Guancia;116"
"External nose;Nasus externus;Nez externe;Nariz externa;Nariz externo;Naso esterno;117"
"Ala of nose;Ala nasi;Aile du nez;Ala de la nariz;Asa do nariz;Ala del naso;118"
"Mouth;Stoma;Bouche;Boca;Boca;Bocca;119"
"Upper lip;Labium superius oris;Lèvre supérieure;Labio superior;Lábio superior;Labbro superiore;120"
"Lower lip;Labium inferius oris;Lèvre inférieure;Labio inferior;Lábio inferior;Labbro inferiore;121"
"Chin;Mentum;Menton;Mentón;Queixo;Mento;122"
"Neck;Collum;Cou;Cuello;Pescoço;Collo;123"
"Trunk;Truncus;Tronc;Tronco;Tronco;Tronco;124"
"Thorax;Thorax;Thorax;Tórax;Tórax;Torace;125"
"Thoracic cavity;Cavitas thoracis;Cavité thoracique;Cavidad torácica;Cavidade torácica;Cavità toracica;126"
"Abdomen;Abdomen;Abdomen;Abdomen;Abdômen;Addome;127"
"Abdominal cavity;Cavitas abdominis;Cavité abdominale;Cavidad abdominal;Cavidade abdominal;Cavità addominale;128"
"Pelvis;Pelvis;Pelvis;Pelvis;Pélvis;Pelvi;129"
"Pelvic cavity;Cavitas pelvis;Cavité pelvienne;Cavidad pélvica;Cavidade pélvica;Cavità pelvica;130"
"Perineum;Perineum;Périnée;Perineo;Períneo;Perineo;131"
"Anterior trunk;Pars anterior trunci;Tronc antérieur;Tronco anterior;Tronco anterior;Tronco anteriore;132"
"Anterolateral thoracic wall;Paries anterolateralis thoracis;Paroi thoracique antérolatérale;Pared torácica anterolateral;Parede torácica ântero-lateral;Parete toracica anterolaterale;133"
"Anterolateral abdominal wall;Paries anterolateralis abdominis;Paroi abdominale antérolatérale;Pared abdominal anterolateral;Parede abdominal ântero-lateral;Parete addominale anterolaterale;134"
"Back;Dorsum;Dos;Dorso;Dorso;Dorso;135"
"Back of thorax;Dorsum thoracis;Arrière du thorax;Parte posterior del tórax;Parte posterior do tórax;Parte posteriore del torace;136"
"Back of abdomen;Dorsum abdominis;Arrière de l'abdomen;Parte posterior del abdomen;Parte posterior do abdômen;Parte posteriore dell'addome;137"
"Upper limb;Membrum superius;Membre supérieur;Miembro superior;Membro superior;Arto superiore;138"
"Shoulder;Omos;Epaule;Hombro;Ombro;Spalla;139"
"Axilla;Axilla;Aisselle;Axila;Axila;Ascella;140"
"Anterior axillary fold;Plica axillaris anterior;Pli axillaire antérieur;Pliegue axilar anterior;Dobra axilar anterior;Plica ascellare anteriore;141"
"Posterior axillary fold;Plica axillaris posterior;Pli axillaire postérieur;Pliegue axilar posterior;Dobra axilar posterior;Plica ascellare posteriore;142"
"Free part of upper limb;Pars libera membri superioris;Partie libre du membre supérieur;Parte libre del miembro superior;Parte livre do membro superior;Parte libera dell'arto superiore;143"
"Arm;Brachium;Bras;Brazo;Braço;Braccio;144"
"Elbow;Cubitus;Coude;Codo;Cotovelo;Gomito;145"
"Forearm;Antebrachium;Avant-bras;Antebrazo;Antebraço;Avambraccio;146"
"Wrist;Carpus;Poignet;Carpo;Punho;Polso;147"
"Hand;Manus;Main;Mano;Mão;Mano;148"
"Metacarpus;Metacarpus;Métacarpe;Metacarpo;Metacarpo;Metacarpo;149"
"Digits of hand;Digiti manus;Doigts de la main;Dedos de la mano;Dedos da mão;Dita della mano;150"
"Thumb;Pollex;Pouce;Pulgar;Polegar;Pollice;151"
"Index finger;Index;Index;Índice;Dedo indicador;Dito indice;152"
"Middle finger;Digitus medius manus;Majeur;Dedo medio;Dedo do meio;Dito medio;153"
"Ring finger;Digitus anularis;Annulaire;Anular;Dedo anelar;Dito anulare;154"
"Little finger;Digitus minimus manus;Auriculaire;Meñique;Dedo mínimo da mão;Dito mignolo;155"
"Lower limb;Membrum inferius;Membre inférieur;Miembro inferior;Membro inferior;Arto inferiore;156"
"Buttock;Natis;Fesse;Nalga;Nádega;Natica;157"
"Hip;Coxa;Hanche;Cadera;Quadril;Anca;158"
"Free part of lower limb;Pars libera membri inferioris;Partie libre du membre inférieur;Parte libre del miembro inferior;Parte livre do membro inferior;Parte libera dell'arto inferiore;159"
"Thigh;Femur;Cuisse;Muslo;Coxa;Coscia;160"
"Knee;Genu;Genou;Rodilla;Joelho;Ginocchio;161"
"Posterior part of knee;Poples;Partie postérieure du genou;Parte posterior de la rodilla;Parte posterior do joelho;Parte posteriore del ginocchio;162"
"Leg;Crus;Jambe;Pierna;Perna;Gamba;163"
"Calf;Sura;Mollet;Pantorrilla;Panturrilha (barriga da perna);Polpaccio;164"
"Ankle;Talus;Cheville;Tarso;Tornozelo;Caviglia;165"
"Foot;Pes;Pied;Pie;Pé;Piede;166"
"Heel;Calx;Talon;Talón;Calcanhar;Calcagno;167"
"Midfoot;Pars media pedis;Mi-pied;Mediopie;Medio pé;Tarso;168"
"Metatarsus;Metatarsus;Métatarse;Metatarso;Metatarso;Metatarso;169"
"Digits of foot;Digiti pedis;Doigts de pied;Dedos del pie;Dedos do pé;Dita del piede;170"
"Great toe;Hallux pedis;Gros orteil;Hallux;Hálux;Alluce;171"
"Second toe;Digitus secundus pedis;Deuxième orteil;Segundo dedo;Segundo dedo do pé;Secondo dito del piede;172"
"Third toe;Digitus tertius pedis;Troisième orteil;Tercer dedo;Terceiro dedo do pé;Terzo dito del piede;173"
"Fourth toe;Digitus quartus pedis;Quatrième orteil;Cuarto dedo;Quarto dedo do pé;Quarto dito del piede;174"
"Little toe;Digitus minimus pedis;Petit orteil;Dedo mínimo;Dedo mínimo do pé;Quinto dito del piede;175"
"Regions of human body;Regiones corporis humani;Régions du corps humain;Regiones del cuerpo humano;Regiões do corpo humano;Regioni del corpo umano;176"
"Regions of head;Regiones capitis;Régions de la tête;Regiones de la cabeza;Regiões da cabeça;Regioni della testa;177"
"Regions of epicranium;Regiones epicranii;Régions de l'épicrâne;Regiones del epicráneo;Regiões de epicrânio;Regioni dell'epicranio;178"
"Vertex;Vertex;Vertex;Vértice;Vértice;Vertice;179"
"Frontal region;Regio frontalis;Région frontale;Región frontal;Região frontal;Regione frontale;180"
"Eyebrow;Supercilium;Sourcil;Supercilio;Sobrancelha;Sopracciglio;181"
"Parietal region;Regio parietalis;Région pariétale;Región parietal;Região parietal;Regione parietale;182"
"Occipital region;Regio occipitalis;Région occipitale;Región occipital;Região occipital;Regione occipitale;183"
"Temporal region;Regio temporalis;Région temporale;Región temporal;Região temporal;Regione temporale;184"
"Mastoid region;Regio mastoidea;Région mastoïdienne;Región mastoidea;Região mastóide;Regione mastoidea;185"
"Auricular region;Regio auricularis;Région auriculaire;Región auricular;Região auricular;Regione auricolare;186"
"Triangular fossa;Fossa triangularis;Fosse triangulaire;Fosa triangular;Fossa triangular;Fossa triangolare;187"
"Scapha;Scapha;Scapha;Escafa;Escafa;Fossa scafoidea;188"
"Concha of auricle;Concha auriculae;Conque de l'auricule;Concha de la oreja;Concha de orelha;Conca del padiglione auricolare;189"
"Cymba conchae;Cymba conchae;Cymba conchae;Cymba conchal;Concha da orelha parte superior;Navicella della conca;190"
"Cavity of concha;Cavitas conchae;Cavité de la conque;Cavidad de la concha;Cavidade da concha;Cavità della conca;191"
"Anterior notch of auricle;Incisura anterior auriculae;Incisure antérieure de l'auricule;Incisura anterior de la oreja;Incisura anterior da orelha;Incisura anteriore del padiglione auricolare;192"
"Intertragic incisure;Incisura intertragica;Incisure intertragique;Incisura intertrágica;Incisura intertrágica;Incisura intertragica;193"
"Auricular tubercle;Tuberculum auriculae;Tubercule de l'auricule;Tubérculo auricular;Tubérculo auricular;Tubercolo auricolare;194"
"Apex of auricle;Apex auriculae;Apex de l'auricule;Ápice de la oreja;Ápice da orelha;Apice del padiglione auricolare;195"
"Posterior auricular groove;Sulcus posterior auriculae;Sillon postérieur de l'auricule;Surco auricular posterior;Sulco auricular posterior;Solco posteriore del padiglione;196"
"(Supratragic tubercle);(Tuberculum supratragicum);(Tubercule supratragique);(Tubérculo supratrágico);(Tubérculo supratrágico);(Tubercolo sopratragico);197"
"Fossa antihelica;Fossa antihelica;Fosse de l'anthélix;Fosa del antehélix;Fossa anti-hélica;Fossa dell'antelice;198"
"Eminentia conchae;Eminentia conchae;Eminence de la conque;Eminencia conchal;Eminência da concha;Eminenza della conca;199"
"Eminentia scaphae;Eminentia scaphae;Eminence scaphoïde;Eminencia escafoidea;Eminência da escafa;Eminenza della fossa scafoidea;200"
"Eminentia fossae triangularis;Eminentia fossae triangularis;Eminence de la fosse triangulaire;Eminencia de la fosa triangular;Eminentia da fossa triangular;Eminenza della fossa triangolare;201"
"Regions of face;Regiones faciei;Régions de la face;Regiones de la cara;Regiões da face;Regioni del viso;202"
"Orbital region;Regio orbitalis;Région orbitale;Región orbital;Região orbital;Regione orbitale;203"
"Suprapalpebral sulcus;Sulcus suprapalpebralis;Sillon suprapalpébral;Surco suprapalpebral;Sulco suprapalpebral;Solco soprapalpebrale;204"
"Palpebral fissure;Rima palpebrarum;Fente palpébrale;Fisura palpebral;Fissura palpebral;Rima palpebrale;205"
"Lateral palpebral commissure;Commissura lateralis palpebrarum;Commissure latérale des paupières;Comisura palpebral lateral;Comissura palpebral lateral;Commissura palpebrale laterale;206"
"Medial palpebral commissure;Commissura medialis palpebrarum;Commissure médiale des paupières;Comisura palpebral medial;Comissura palpebral medial;Commissura palpebrale mediale;207"
"Lateral angle of eye;Angulus lateralis oculi;Angle latéral de l'oeil;Ángulo lateral del ojo;Ângulo lateral do olho;Angolo laterale dell'occhio;208"
"Medial angle of eye;Angulus medialis oculi;Anglé médial de l'oeil;Ángulo medial del ojo;Ângulo medial do olho;Angolo mediale dell'occhio;209"
"Infrapalpebral sulcus;Sulcus infrapalpebralis;Sillon infrapalpébral;Surco infrapalpebral;Sulco infrapalpebral;Solco infrapalpebrale;210"
"Palpebronasal fold;Plica palpebronasalis;Pli palpébronasal;Pliegue palpebronasal;Prega palpebronasal;Piega palpebronasale;211"
"Infra-orbital region;Regio infraorbitalis;Région infra-orbitaire;Región infraorbitaria;Região infra-orbital;Regione infraorbitale;212"
"Buccal region;Regio buccalis;Région buccale;Región bucal;Região bucal;Regione buccale;213"
"Parotideomasseteric region;Regio parotideomasseterica;Région parotidomassétérique;Región parotidomasseterica;Região parotideomasseterica;Regione parotideomasseterica;214"
"Zygomatic region;Regio zygomatica;Région zygomatique;Región cigomática;Região zigomática;Regione zigomatica;215"
"Nasal region;Regio nasalis;Région nasale;Región nasal;Região nasal;Regione nasale;216"
"Root of nose;Radix nasi;Racine du nez;Raíz de la nariz;Raiz do nariz;Radice del naso;217"
"Dorsum of nose;Dorsum nasi;Dos du nez;Dorso de la nariz;Dorso do nariz;Dorso del naso;218"
"Apex of nose;Apex nasi;Bout du nez;Vértice de la nariz;Ápice do nariz;Apice del naso;219"
"Nasolabial sulcus;Sulcus nasolabialis;Sillon nasolabial;Surco nasolabial;Sulco nasolabial;Solco nasolabiale;220"
"Oral region;Regio oralis;Région orale;Región oral;Região oral;Regione orale;221"
"Philtrum;Philtrum;Philtrum;Philtrum;Filtro;Filtro;222"
"Tubercle of upper lip;Tuberculum labii superioris;Tubercule de la lèvre supérieure;Tubérculo del labio superior;Tubérculo do lábio superior;Tubercolo del labbro superiore;223"
"Labial commissure;Commissura labiorum oris;Commissure labiale;Comisura labial;Comissura labial;Commessura labiale;224"
"Angle of mouth;Angulus oris;Angle de la bouche;Ángulo de la boca;Ângulo da boca;Angolo della bocca;225"
"Mentolabial sulcus;Sulcus mentolabialis;Sillon mentolabial;Surco mentonlabial;Sulco mentolabial;Solco mentolabiale;226"
"Mental region;Regio mentalis;Région mentonnière;Región mental;Região mental;Regione mentale;227"
"Regions of neck;Regiones colli;Régions du cou;Regiones del cuello;Regiões do pescoço;Regioni del collo;228"
"Anterior region of neck;Regio anterior colli;Région antérieure du cou;Región anterior del cuello;Região anterior do pescoço;Regione anteriore del collo;229"
"Anterior triangle of neck;Trigonum anterius colli;Trigone cervical antérieur;Trígono cervical anterior;Triângulo anterior do pescoço;Triangolo anteriore del collo;230"
"Suprahyoid region;Regio suprahyoidea;Région suprahyoïdienne;Región suprahioidea;Região supra-hióidea;Regione sopraioidea;231"
"Submandibular triangle;Trigonum submandibulare;Trigone submandibulaire;Trígono submandibular;Triângulo submandibular;Triangolo sottomandibolare;232"
"Submental triangle;Trigonum submentale;Trigone submentonnier;Trígono submental;Triângulo submentoniano;Triangolo submentale;233"
"Infrahyoid region;Regio infrahyoidea;Région infrahyoïdienne;Región infrahioidea;Região infra-hióidea;Regione infraioidea;234"
"Carotid triangle;Trigonum caroticum;Tigone carotidien;Trígono carotídeo;Triângulo carotídeo;Triangolo carotideo;235"
"Muscular triangle;Trigonum musculare;Tigone musculaire;Trígono muscular;Triângulo muscular;Triangolo muscolare;236"
"Sternocleidomastoid region;Regio sternocleidomastoidea;Région sternocléïdomastoïdienne;Región esternocleidomastoidea;Região do esternocleidomastóideo;Regione sternocleidomastoidea;237"
"Lesser supraclavicular fossa;Fossa supraclavicularis minor;Petite fosse supraclaviculaire;Fosa supraclavicular menor;Fossa supraclavicular menor;Fossa sopraclavicolare minore;238"
"Lateral region of neck;Regio lateralis colli;Région latérale du cou;Región lateral del cuello;Região lateral do pescoço;Regione laterale del collo;239"
"Greater supraclavicular fossa;Fossa supraclavicularis major;Grande fosse supraclaviculaire;Fosa supraclavicular mayor;Maior fossa supraclavicular;Fossa sopraclavicolare maggiore;240"
"Omoclavicular triangle;Trigonum omoclaviculare;Triangle omo-claviculaire;Trígono omoclavicular;Triângulo omoclavicular;Triangolo omoclavicolare;241"
"Occipital triangle;Trigonum occipitale;Triangle occipital;Trígono occipital;Triângulo occipital;Triangolo occipitale;242"
"Posterior region of neck;Regio posterior colli;Région postérieure du cou;Región posterior del cuello;Região posterior do pescoço;Regione posteriore del collo;243"
"Regions of thorax;Regiones thoracis;Régions du thorax;Regiones del tórax;Regiões do tórax;Regioni del torace;244"
"Anterior region of thorax;Regio anterior thoracis;Région antérieure du thorax;Región anterior del tórax;Região anterior do tórax;Regione anteriore del torace;245"
"Precordium;Precordium;Précordium;Precordio;Precórdio;Precordio;246"
"Presternal region;Regio presternalis;Région présternale;Región preesternal;Região pré-esternal;Regione presternale;247"
"Infraclavicular fossa;Fossa infraclavicularis;Fosse infraclaviculaire;Fosa infraclavicular;Fossa infraclavicular;Fossa infraclavicolare;248"
"Deltopectoral triangle;Trigonum deltopectorale;Triangle deltopectoral;Triángulo deltopectoral;Triângulo deltopeitoral;Triangolo deltopettorale;249"
"Deltopectoral groove;Sulcus deltopectoralis;Sillon deltopectoral;Surco deltopectoral;Sulco deltopeitoral;Solco deltopettorale;250"
"Pectoral region;Regio pectoralis;Région pectorale;Región pectoral;Região peitoral;Regione pettorale;251"
"Mammary region;Regio mammaria;Région mammaire;Región mamaria;Região mamária;Regione mammaria;252"
"Inframammary region;Regio inframammaria;Région inframammaire;Región inframamaria;Região inframamária;Regione inframammaria;253"
"Lateral region of thorax;Regio lateralis thoracis;Région latérale du thorax;Región lateral del tórax;Região lateral do tórax;Regione laterale del torace;254"
"Regions of abdomen;Regiones abdominis;Régions abdominales;Regiones abdominales;Regiões do abdômen;Regioni dell'addome;255"
"Hypochondriac region;Regio hypochondriaca;Région hypochondriaque;Region hipocondriaca;Região hipocondríaca;Regione ipocondriaca;256"
"Epigastric region;Regio epigastrica;Région épigastrique;Región epigástrica;Região epigástrica;Regione epigastrica;257"
"Epigastric fossa;Fossa epigastrica;Fosse épigastrique;Fosa epigástrica;Fossa epigástrica;Fossa epigastrica;258"
"Lateral region of abdomen;Regio lateralis abdominis;Région latérale de l'abdomen;Región lateral del abdomen;Região lateral do abdômen;Regione laterale dell'addome;259"
"Umbilical region;Regio umbilicalis;Région ombilicale;Región umbilical;Região umbilical;Regione ombelicale;260"
"Umbilicus;Umbilicus;Nombril;Ombligo;Umbigo;Ombelico;261"
"Inguinal region;Regio inguinalis;Région inguinale;Región inguinal;Região inguinal;Regione inguinale;262"
"Hypogastric region;Regio hypogastrica;Région hypogastrique;Región hipogástrica;Região hipogástrica;Regione ipogastrica;263"
"Regions of back;Regiones dorsi;Régions du dos;Regiones del dorso;Regiões do dorso;Regioni del dorso;264"
"Vertebral region;Regio vertebralis;Région vertébrale;Región vertebral;Região vertebral;Regione vertebrale;265"
"Scapular region;Regio scapularis;Région scapulaire;Región escapular;Região escapular;Regione scapolare;266"
"Triangle of auscultation;Trigonum auscultationis;Triangle d'auscultation;Trígono de auscultación;Triângulo da ausculta;Triangolo di auscultazione;267"
"Infrascapular region;Regio infrascapularis;Région infrascapulaire;Región infraescapular;Região infraescapular;Regione sottoscapolare;268"
"Lumbar region;Regio lumbalis;Région lombaire;Región lumbar;Região lombar;Regione lombare;269"
"Lumbar triangle;Trigonum lumbale;Triangle lombaire;Triangulo lumbar;Triângulo lombar;Triangolo lombare;270"
"Superior lumbar triangle;Trigonum lumbale superius;Triangle lombaire sypérieur;Triangulo lumbar superior;Triângulo lombar superior;Triangolo lombare superiore;271"
"Sacral region;Regio sacralis;Région sacrale;Región sacra;Região sacral;Regione sacrale;272"
"Sacro-iliac dimple;Foveola sacroiliaca;Fossette sacro-iliaque;Foveola sacroilíaca;Cova sacroilíaca;Fossetta sacro-iliaca;273"
"Coccygeal region;Regio coccygea;Région coccygienne;Región coccígea;Região coccígea;Regione coccigea;274"
"(Coccygeal foveola);(Foveola coccygea);(Foveola coccygea);(Foveola coccygea);(Fovéola coccígea);(Fossetta coccigea);275"
"Regions of perineum;Regiones perinei;Régions du périnée;Regiones del perineo;Regiões do períneo;Regioni del perineo;276"
"Anal region;Regio analis;Région anale;Región anal;Região anal;Regione anale;277"
"Anal triangle;Trigonum anale;Triangle anal;Triángulo anal;Triângulo anal;Triangolo anale;278"
